./Saavedra2013/n1.txt 97 81
./Saavedra2013/n10.txt 14 21
./Saavedra2013/n11.txt 270 92
./Saavedra2013/n12.txt 7 73
./Saavedra2013/n13.txt 61 18
./Saavedra2013/n14.txt 35 16
./Saavedra2013/n15.txt 38 12
./Saavedra2013/n16.txt 118 25
./Saavedra2013/n17.txt 76 32
./Saavedra2013/n18.txt 13 15
./Saavedra2013/n19.txt 10 17
./Saavedra2013/n2.txt 62 42
./Saavedra2013/n20.txt 18 8
./Saavedra2013/n21.txt 19 46
./Saavedra2013/n22.txt 19 37
./Saavedra2013/n23.txt 179 27
./Saavedra2013/n24.txt 80 29
./Saavedra2013/n25.txt 17 17
./Saavedra2013/n26.txt 82 41
./Saavedra2013/n27.txt 27 6
./Saavedra2013/n28.txt 90 20
./Saavedra2013/n29.txt 61 26
./Saavedra2013/n3.txt 25 37
./Saavedra2013/n30.txt 8 20
./Saavedra2013/n31.txt 28 26
./Saavedra2013/n32.txt 45 22
./Saavedra2013/n33.txt 70 21
./Saavedra2013/n34.txt 79 26
./Saavedra2013/n35.txt 14 9
./Saavedra2013/n36.txt 40 170
./Saavedra2013/n37.txt 44 14
./Saavedra2013/n38.txt 51 100
./Saavedra2013/n39.txt 33 26
./Saavedra2013/n4.txt 101 12
./Saavedra2013/n40.txt 28 19
./Saavedra2013/n41.txt 12 11
./Saavedra2013/n42.txt 42 9
./Saavedra2013/n43.txt 55 30
./Saavedra2013/n44.txt 56 10
./Saavedra2013/n45.txt 36 62
./Saavedra2013/n46.txt 58 18
./Saavedra2013/n47.txt 139 42
./Saavedra2013/n48.txt 118 50
./Saavedra2013/n49.txt 47 24
./Saavedra2013/n5.txt 21 8
./Saavedra2013/n50.txt 45 47
./Saavedra2013/n51.txt 8 16
./Saavedra2013/n52.txt 33 8
./Saavedra2013/n53.txt 34 14
./Saavedra2013/n54.txt 126 26
./Saavedra2013/n55.txt 14 51
./Saavedra2013/n56.txt 110 208
./Saavedra2013/n57.txt 14 12
./Saavedra2013/n58.txt 678 91
./Saavedra2013/n59.txt 663 131
./Saavedra2013/n6.txt 9 32
./Saavedra2013/n7.txt 16 26
./Saavedra2013/n8.txt 19 34
./Saavedra2013/n9.txt 12 23
